FullName,Email,Phone,Address,JobTitle,DateOfBirth,Age,Gender,Marriage,Children,FamilySize,Education,Income,HouseOwn,CarOwn,CallsNum,CallsMinutes,SmsSent,SmsVar,Periodicity,SlopeCalls,MobilityClusters,SocialStability,SocialExposure,SocialQuality,MobileMoneyTx,AirtimeTopups,NumFinancialAppsInstalled,NumFinancialAppsUsed,SMSTx_P2P_Count_30d,SMSTx_BillPay_Count_30d,SMSTx_Merchant_Count_30d,SMSTx_Amt_Mean_30d,SMSTx_Amt_CV_30d,SMSTx_OnTimeBillPay_Rate,SMSTx_NightShare,SM_Platforms_Installed,SM_MinutesPerDay,SM_PostsPerWeek,SM_NightUsageShare,SM_Sentiment_Polarity,Apps_TotalInstalled,Apps_SessionsPerDay,Apps_ForegroundMinPerDay,Apps_BackgroundMBPerDay,Apps_Time_ProductivityMin,Apps_Time_GamingMin,Apps_Time_FinanceMin,Apps_ChurnRate_30d,Apps_RiskyCount
Terry Torres,steven15@gmail.com,(422)359-1369x381,"481 Bennett Spring Suite 942, Whiteport, IA 65558",Arts administrator,09-09-1982,42,Male,Single,0,2,Secondary,1641,0,0,8,68,32,-0.42,-0.37,-1.25,5,0.34,0.84,0.9,8,7,1,3,5,6,1,19.12,0.05,0.77,0.03,1,98,7,0.08,-0.08,54,1,29,92.1,45,39,16,0,0
Alexandra Smith,clarkmiguel@gmail.com,(415)829-5587x94514,"PSC 2630, Box 7387, APO AA 44836",Geophysicist/field seismologist,09-07-2006,18,Male,Single,0,2,Secondary,3744,0,1,28,60,15,-0.14,-2.67,0.71,3,0.52,1,0.58,11,1,1,0,3,4,1,31.49,0.05,0.84,0.13,0,132,2,0.09,0.11,1,25,56,387.9,105,58,14,0.17,0
Anthony Thompson,hector46@yahoo.com,828-932-5717,"962 Smith Park, South Andrealand, FL 16715",Camera operator,01-02-1994,30,Male,Married,0,1,Primary,1403,0,0,37,37,4,-2.73,1.67,0.31,2,0.67,0.07,0.05,7,4,1,2,7,2,1,69.38,0.71,0.57,0.31,0,152,0,0.28,0.46,34,11,1,241.7,52,84,46,0.01,5
Julie Barker,timothymiller@gmail.com,662.460.6160,"007 Tim Canyon Suite 192, East Maryfurt, NM 70059","Editor, commissioning",15-01-1997,27,Male,Married,1,3,Secondary,1851,0,0,34,51,24,0.27,0.72,-1.51,2,0.5,0.15,0.23,7,3,4,0,3,5,2,58.93,0.34,0.7,0.14,4,82,5,0.27,0.66,56,0,289,238.7,78,0,12,0.03,3
Shelby King,courtneydaniel@hotmail.com,541-741-2831,"84994 Jacqueline Trail Apt. 422, Murraymouth, FL 33619",Applications developer,01-05-1954,70,Female,Married,0,2,Secondary,6720,1,1,44,88,43,-0.62,-0.69,-1.35,1,0.4,0.79,0.29,3,4,1,2,3,6,1,26.03,1.18,0.86,0.17,2,150,7,0.26,0.18,61,0,38,281,103,0,50,0.32,1
Kimberly Ortiz,charmon@gmail.com,001-997-903-4813x0932,"743 Melissa Estates, North Jasonmouth, VI 23065",Computer games developer,15-05-1997,27,Male,Married,1,3,Tertiary,2983,0,0,46,39,27,0.22,0.77,0.02,5,0.17,0.36,0.48,7,5,1,2,1,3,2,93.55,0.95,0.91,0.15,3,55,0,0.3,0.1,67,27,224,170.5,57,58,37,0.25,1
Tracey Martin,david27@gmail.com,(472)455-4034,"3044 Mark Plaza Suite 049, Christopherfurt, ND 74065",Clinical biochemist,20-09-1974,50,Female,Divorced,2,3,Secondary,1104,1,0,34,117,40,0.45,-0.28,1.39,3,0.74,0.95,0.8,6,8,3,1,5,5,4,56.37,0.05,1,0.15,3,213,0,0,1,21,11,0,233,40,0,0,0.31,1
Danielle Rodriguez,shelleygarcia@hotmail.com,6702235909,"9425 Alexander Crescent, Lake Desireetown, VI 26192",Architect,28-12-2006,18,Male,Married,0,1,Secondary,2216,0,0,16,27,62,0.24,-1.92,-1.61,3,0.88,0.01,0.21,3,1,2,3,7,5,4,58.38,1.16,0.81,0.27,3,43,6,0.14,-0.13,16,44,147,143.6,10,93,9,0.08,0
James Higgins,dmack@hotmail.com,679-749-7911x32482,"9920 Jeanne Views Suite 821, North Tracy, KS 42456",Ceramics designer,13-08-1994,30,Male,Single,1,3,Primary,1504,0,0,36,11,38,0.18,-0.35,1.12,2,0.03,0.63,0.19,4,8,0,1,6,3,0,117.43,0.38,0.82,0.26,5,55,9,0.12,0.56,26,3,0,0,16,0,0,0.15,3
Lindsey Miller,jacquelinebaldwin@yahoo.com,-5251,"9745 Blake Mission, Port Rickey, MA 72084",Trade mark attorney,21-07-2006,18,Male,Divorced,1,3,Secondary,2959,0,0,32,58,44,-0.8,-1.68,-1.6,2,0.33,0.1,0.85,6,2,2,4,4,5,0,19.47,0.81,0.8,0,0,95,11,0.36,-0.39,18,30,46,120,50,30,0,0.03,0
Amy Gonzales,john20@hotmail.com,275.356.0887,"74007 Keith Streets Suite 949, Fergusonshire, NJ 45568",Haematologist,10-10-1987,37,Male,Single,1,2,Primary,1666,1,0,54,31,38,0.68,-0.34,-0.85,7,0.07,0.71,0.98,9,6,1,1,2,8,3,38.71,0.86,0.63,0.17,4,59,9,0.07,0,50,22,155,127.9,0,97,45,0,0
David Rodriguez,dawn67@yahoo.com,391-790-8979x5908,"5358 Bullock Causeway Suite 390, Ericton, GU 09985","Scientist, product/process development",18-03-1967,57,Male,Single,3,5,Secondary,4388,0,0,14,48,14,1.05,-0.28,0.65,4,0.39,0.83,0.22,7,3,1,0,1,8,6,198.51,0.83,0.97,0.18,4,161,5,0.2,0.1,53,19,190,8.6,50,106,13,0.24,2
Kyle Stone,jefferyramirez@hotmail.com,309.755.6192x969,"1609 Stephen Light Apt. 011, North Christopherville, IN 80894",Museum/gallery exhibitions officer,02-11-2000,24,Male,Married,1,3,Secondary,3391,0,0,46,57,8,-0.66,-0.14,0.55,3,0.44,0.36,0.57,3,5,2,1,4,5,0,18.29,0.05,0.65,0.08,3,69,4,0.02,-0.66,36,40,430,87.8,63,57,2,0.02,0
Leslie Harper,christopher40@yahoo.com,289.989.5205,"9471 Deleon Cliffs Suite 453, New Patricia, OH 49650",Senior tax professional/tax inspector,10-07-1980,44,Female,Married,2,4,Tertiary,3321,0,0,17,31,60,-0.8,-0.92,-0.86,3,0.76,0.72,0.88,6,4,2,1,2,8,0,50,0.76,0.86,0.13,2,108,8,0.54,-0.31,50,29,111,295.8,0,3,2,0,4
Joel Mccoy,wrightjeffery@yahoo.com,6876968764,"254 Ashley Locks, East Aaronstad, ME 49758","Engineer, structural",06-11-1980,44,Male,Divorced,0,2,Secondary,5070,0,0,50,82,37,-0.61,0.59,-0.28,7,0.5,0.25,0.34,1,2,0,1,5,9,2,38.28,0.59,0.68,0.23,3,195,1,0.32,0.06,39,21,342,0,7,5,2,0.03,5
Stacy Shea,george25@hotmail.com,-6132,"16974 Taylor Estates, Robertfort, KY 11318",Occupational therapist,29-08-1981,43,Female,Single,0,1,Secondary,4716,1,1,30,82,39,0.21,-0.04,-0.25,6,0.73,0.88,0.85,4,3,2,0,2,3,3,35.46,1.18,0.85,0,4,138,0,0.3,0.74,38,18,19,356,28,56,32,0.34,3
Dr. Jason Beltran,pmayo@hotmail.com,490.494.8324x8168,"585 Baker Field, Munozfort, MT 18478","Programmer, systems",12-01-1992,32,Male,Married,2,3,Secondary,6818,1,1,40,5,7,-1.29,-1.34,1.25,5,0.17,0.55,0.81,1,5,1,0,3,8,0,37.94,0.35,0.76,0.24,2,0,9,0.09,0.6,52,33,230,266.5,0,0,24,0.09,0
Jonathan White,christopher47@yahoo.com,2578928637,"96872 Castro Inlet Apt. 433, Millerborough, OH 56069",Commercial/residential surveyor,03-05-1991,33,Male,Married,5,6,Tertiary,5325,0,1,22,28,8,-0.41,0.15,-0.77,4,0.54,0.33,0.88,5,1,2,0,3,3,2,39.48,0.8,0.33,0.05,2,109,4,0.23,0.33,50,33,130,98.4,0,16,4,0.13,0
Kristi Long,hectorgilbert@gmail.com,+1-346-903-9304x7642,"36677 Mills Pass Suite 459, Joshuafort, WA 80492",Retail banker,01-08-1987,37,Male,Married,2,3,Primary,4386,0,0,31,75,52,-0.33,1.19,1.21,3,0.99,0.36,0.55,8,4,2,2,2,0,2,30.47,0.39,1,0,3,72,7,0.25,-0.29,64,40,207,0,82,0,35,0.34,0
Thomas Bowman,mckayaudrey@yahoo.com,(691)859-3074x29962,"67613 Clark Bridge Suite 063, Hendersonville, ME 75167","Civil engineer, consulting",14-10-1987,37,Female,Married,1,2,Tertiary,4670,1,1,36,59,25,-0.78,0.21,-0.04,3,0.96,0.79,0.53,0,5,4,0,2,5,0,31.41,0.64,0.85,0.25,5,108,7,0.08,0.53,51,9,291,187.6,47,36,32,0.11,0
Eric Stephens,victoria52@gmail.com,329-946-8141,"27574 Lori Spring, Ramirezview, KY 96447",Air cabin crew,10-12-1987,37,Female,Married,3,5,Secondary,2491,1,1,30,20,65,-0.88,-1.04,0.61,5,0.64,0.12,0.76,1,3,2,0,7,1,3,108.9,0.61,0.72,0.08,3,87,4,0.06,-0.05,91,22,70,386.2,22,0,40,0.17,0
Monica Fowler,perkinsbecky@yahoo.com,5307382460,"16093 James Greens Apt. 522, Jesushaven, ND 96627",Film/video editor,15-02-1980,44,Male,Married,1,2,Primary,3352,1,0,25,44,27,0.2,-0.43,1.11,3,0.37,0.52,0.51,6,1,1,0,2,3,2,46.72,0.76,1,0.06,2,74,3,0,0.05,38,13,280,143.7,124,65,0,0.21,2
Lacey Wells,dianekey@yahoo.com,3542339822,"USS Shelton, FPO AE 48857",Sports coach,07-07-1991,33,Male,Married,0,1,Tertiary,1966,0,0,35,129,6,-0.09,1.48,0.27,3,0.97,0.98,0.05,0,4,3,0,2,3,0,21.68,0.8,0.8,0.16,3,90,10,0.02,-0.12,35,44,151,72.3,12,60,32,0.13,0
Lisa Aguilar,lmartinez@yahoo.com,+1-443-253-6597x638,"624 Robert Mills Suite 212, West Sheilahaven, OK 04174",Customer service manager,20-05-1982,42,Male,Married,1,2,Primary,1819,0,0,52,43,23,-3.29,-0.38,-0.1,5,0.3,0.77,0.81,9,5,0,0,4,6,4,22.54,0.57,0.64,0.24,2,136,1,0.07,-0.3,61,34,109,70.4,0,18,34,0.1,0
Michael Sawyer,andrewgray@hotmail.com,217-333-8843x19280,"USS Pollard, FPO AE 72848",Public relations officer,19-09-1985,39,Male,Single,1,2,Primary,1497,1,0,28,103,19,-1.56,0.52,-0.21,4,0.98,0.86,0.88,0,6,2,0,3,4,1,39.85,0.66,0.8,0.22,2,72,8,0.29,-0.15,15,28,132,411.9,45,0,35,0.29,1
Chad Harper,lauren19@yahoo.com,(947)938-6667x223,"332 Murray Rapids, Wilkersonchester, WA 43413",Community pharmacist,13-12-2002,22,Male,Married,2,3,Tertiary,3418,0,0,38,19,42,1,-0.21,0.64,4,0.99,0.74,0.04,5,6,4,1,6,7,0,45.02,0.82,1,0.16,3,92,9,0.17,-0.23,58,18,0,118.6,38,60,53,0,2
Jessica Henderson,fkelly@gmail.com,579.787.3971x5202,"75110 Stevens Field Suite 664, Jeffreyhaven, MN 46130",Gaffer,16-10-2000,24,Female,Married,5,6,Primary,2856,0,0,28,31,54,-1.52,0.61,-0.67,5,0.8,0.41,0.45,5,2,5,0,5,2,3,42.42,1.03,0.6,0.08,1,110,9,0.29,-0.07,44,19,39,183.1,46,43,26,0.33,3
Barbara Gomez,bradleyhughes@yahoo.com,822.333.0507x945,"916 Joann Mount Apt. 144, Suzanneburgh, MN 16831",Call centre manager,13-11-1982,42,Male,Married,1,3,Primary,5092,0,0,40,76,36,0.01,-0.37,0.38,5,0.93,0.73,0.25,1,5,1,1,3,2,2,107.92,0.83,0.68,0.12,3,96,2,0.2,-0.22,22,0,369,39.5,0,15,39,0.09,4
James Johnson,matthewharris@yahoo.com,(333)260-1435,"5447 Knight Heights Suite 607, East Richard, AL 30767",Lobbyist,19-10-1983,41,Male,Divorced,1,2,Secondary,8133,1,0,47,110,74,-1.84,-1.96,0.66,2,0.09,0.05,0.02,5,6,1,0,2,2,3,20.27,1.17,0.84,0.09,1,169,5,0.07,0.1,50,22,241,183.1,47,0,0,0.09,2
Jacob Jones,sandovaljohnny@hotmail.com,-3095,"1274 Munoz Tunnel, Carterborough, GA 95604","Engineer, structural",10-11-1976,48,Male,Married,1,2,Secondary,2351,1,0,12,10,55,0.06,-0.63,1.38,2,0.82,0.08,0.64,5,4,1,1,4,6,0,90.61,0.67,0.75,0.21,5,87,10,0.26,-0.23,19,41,86,209.4,37,17,33,0.23,2
Nathan Mayo,gregoryisaac@gmail.com,9326950441,"29114 Timothy Shore Apt. 931, Kimberlyton, HI 01584","Scientist, research (maths)",05-06-2006,18,Male,Married,3,5,Secondary,3994,1,1,40,80,22,0.37,-0.05,-1.76,4,0.62,0.27,0.84,2,3,1,1,3,2,2,12.57,1.27,0.76,0,2,180,5,0,-0.38,2,40,118,0,55,26,11,0.06,2
Daniel Dalton,mendozadarlene@yahoo.com,001-233-803-0976x137,"089 Stewart Plain Apt. 753, Sawyermouth, CO 60416",Database administrator,22-11-1982,42,Female,Married,1,3,Primary,3877,0,0,48,67,48,0.79,-0.95,1.41,4,0.33,0.26,0.07,5,7,5,0,2,6,0,28.93,0.71,0.62,0.18,5,131,22,0.07,0.31,72,24,239,112,16,24,43,0.19,4
Morgan Vazquez,wayneconley@gmail.com,600.746.4016,"621 Franklin Manors Apt. 906, Jonesmouth, DC 88603",Publishing copy,01-06-2006,18,Female,Single,1,2,Primary,3141,0,0,24,121,132,0.48,-1.82,-0.66,4,0.21,0.05,0.6,0,2,4,3,4,5,2,26.52,1,1,0.14,4,74,1,0.29,0.08,46,33,84,185.5,1,57,0,0.21,4
Valerie Cox,braydavid@hotmail.com,495.204.6217,"553 Clark Crest, Wagnerburgh, MO 90699",Television floor manager,08-06-1990,34,Female,Single,1,3,Primary,5944,0,0,30,51,53,0.79,-0.32,-0.36,3,0.9,0.77,0.73,4,6,2,0,4,2,4,91.22,1.18,0.99,0.18,0,153,8,0.18,0.25,38,41,118,5,36,0,27,0.2,1
Bradley Ortega,william98@hotmail.com,+1-665-958-0642x074,"162 Hughes Mountains, Port Cynthiahaven, OR 90645",Radiation protection practitioner,12-02-2006,18,Female,Married,4,6,Secondary,4452,0,0,42,116,17,0.1,-0.51,-1.08,6,0.78,0.19,0.4,8,1,2,2,4,5,4,27.09,0.18,1,0.09,4,0,0,0.14,0.31,52,50,188,400.5,15,45,39,0.08,2
Christine Payne,walkerricky@yahoo.com,610-319-8089,"412 King Row, Mcfarlandton, MI 28866",Database administrator,11-07-1973,51,Male,Divorced,3,5,Primary,3600,1,0,8,88,53,-0.36,0.7,-0.4,4,0.01,0.85,0.68,4,3,1,0,4,3,5,20.15,1.32,0.47,0.24,1,175,14,0,0.05,39,4,159,234.4,28,0,4,0.2,0
Janet Chase,davidanderson@gmail.com,434-389-4983x574,"743 Moore Manors, South Michael, MH 38428",Learning mentor,23-11-1999,25,Male,Single,2,3,Secondary,2014,1,0,74,78,43,1.19,-1.39,1.13,4,0.81,0.19,0.97,5,6,0,1,4,3,2,124.99,0.33,0.95,0.12,3,9,3,0.53,0.26,37,48,0,306.9,43,58,25,0.03,0
Raymond Hall,jenniferortega@gmail.com,001-331-845-5268x211,"60145 Larry Shore, Castillochester, MO 92957",Local government officer,07-09-1963,61,Female,Single,2,3,Primary,6020,1,0,34,24,1,-0.07,1.03,0.66,1,0.98,0.75,0.26,6,5,3,2,3,4,0,48.87,0.48,0.71,0.26,3,80,2,0.06,-0.25,70,53,179,134,43,33,32,0.29,1
Chad Green,emoore@gmail.com,982-375-2765x85201,"7565 Rubio Glen Suite 572, Michaelhaven, CT 28857",Clinical psychologist,05-07-1986,38,Female,Married,1,2,Primary,1500,0,1,31,57,74,1.2,1.13,-0.41,5,0.42,0.03,0.37,0,5,3,0,2,6,1,29.17,1.35,0.83,0.19,5,249,3,0.35,0.35,9,33,377,4.6,43,17,16,0.31,2
Brittany Miller,scottnicholas@yahoo.com,403-215-4878,"4877 Amy Circle Suite 669, New Dominicstad, GU 73348",Dietitian,13-09-1979,45,Female,Married,1,3,Secondary,3869,0,1,61,122,8,0.86,0.33,0.96,2,0.3,0.3,0.48,5,5,0,1,3,5,1,35.3,0.65,0.72,0.03,5,130,5,0.39,0.36,9,15,145,134.9,68,0,36,0.13,1
Juan Williams,colematthew@gmail.com,870.477.8521x43007,"76049 Norton Ridges, Sherylfort, NJ 05881",Curator,19-09-1982,42,Female,Single,0,1,Primary,2140,1,0,10,132,70,-0.58,-0.65,-0.04,3,0.59,0.08,0.85,3,7,1,0,2,2,3,19.15,0.81,0.84,0.16,2,100,6,0.05,-0.31,71,22,0,295.5,66,67,9,0.23,4
Nicole Cuevas,ycarroll@yahoo.com,924.272.2077,"251 Brian Villages, New Antonio, AL 33909",Illustrator,03-10-1967,57,Male,Married,2,4,Secondary,1175,0,0,59,60,20,-1.02,2.41,-0.75,6,0.7,0.67,0.76,9,2,2,1,3,9,1,21.83,0.63,0.88,0.08,4,46,1,0.32,-0.09,7,14,112,446,18,64,9,0,1
Raymond Turner,cathy32@hotmail.com,756.921.0943,"11966 Anna Fords, Lake Kevinmouth, NM 33829","Nurse, children's",09-07-1989,35,Female,Married,1,3,Secondary,7108,0,0,36,9,61,-0.71,0.62,0.14,6,0.67,0.65,0.85,6,3,2,0,4,3,6,27.57,0.89,0.85,0.23,5,77,7,0.3,-0.12,49,25,131,147.2,0,75,30,0.23,3
Taylor Montoya,cnunez@yahoo.com,480-422-6238x3763,"47434 Michael Harbor, Tracieshire, WI 36277",Teaching laboratory technician,08-02-2003,21,Male,Married,2,3,Secondary,2050,1,0,40,3,25,0.32,-1.52,-0.21,7,0.35,0.5,0.31,1,5,1,0,4,4,3,12.38,1.28,1,0.09,4,53,4,0.12,-0.23,89,27,284,283.2,26,34,8,0.06,4
Sara Mitchell,kirksmith@hotmail.com,001-529-685-2194x381,"2575 Hull Groves Apt. 521, Tracyton, MO 86500","Runner, broadcasting/film/video",21-01-2003,21,Female,Single,2,3,Primary,6392,0,0,55,32,55,-0.01,-1.13,0.48,4,0.78,0.38,0.86,3,6,2,0,2,1,1,32.65,1.38,0.6,0.28,2,59,3,0.13,0.13,29,3,298,280.9,60,0,35,0.05,1
Anna Rivera,phernandez@gmail.com,603-474-4421,"4341 Donna Mountain Suite 687, Shawnburgh, KS 63538","Journalist, broadcasting",17-04-2000,24,Male,Married,0,1,Secondary,3428,0,0,39,19,89,-1.34,0.52,-0.3,3,0.57,0.93,0.99,4,4,1,0,3,10,5,26.46,0.72,0.76,0.25,0,111,0,0.37,0.21,50,44,103,97.7,14,0,8,0.31,0
Tammy Mclean,qdixon@gmail.com,8595329560,"38691 Kathleen Ferry, East Mary, NE 88460",Soil scientist,29-01-1988,36,Male,Single,1,2,Primary,1504,0,1,59,14,32,-1.9,1.03,0.49,4,0.2,0.23,0.06,7,5,2,0,6,4,3,68.37,0.92,0.81,0.16,4,24,4,0.01,0.24,84,14,69,98.4,75,19,52,0.2,5
Vanessa Tyler,hjenkins@yahoo.com,001-919-404-8887x9795,"Unit 7839 Box 2711, DPO AP 65512",Clothing/textile technologist,04-01-1985,39,Male,Single,1,2,Primary,5887,1,0,3,61,71,0.61,-0.86,1.2,3,0.8,0.97,0.94,3,4,0,2,7,8,1,27.75,0.86,0.72,0.08,5,26,12,0.22,-0.18,43,34,213,124.7,9,82,32,0.22,2
Cassie Mcdonald,aanderson@hotmail.com,+1-552-335-5746x9730,"4930 Gross Mill, South Brenda, IL 26292",Civil Service administrator,30-03-1992,32,Female,Married,0,1,Secondary,4259,1,1,34,54,20,0.52,-0.41,1.11,1,0.03,0.94,0.76,8,2,0,0,2,3,5,164.56,0.95,0.8,0.26,4,105,10,0.09,-0.15,41,0,198,0,43,40,31,0,0
William Ramirez,millersteven@yahoo.com,+1-362-718-2030x83969,"PSC 6947, Box 5015, APO AP 39248","Education officer, community",22-02-1987,37,Male,Married,2,3,Primary,1801,0,0,36,73,51,-0.3,-0.81,-0.34,6,0.19,0.38,0.25,5,2,0,0,2,3,1,34.66,0.97,0.94,0.18,2,128,7,0.49,-0.18,49,18,122,97.9,21,134,0,0.2,0
Alexis Nelson,jonesamy@hotmail.com,+1-451-564-3674x793,"21844 Hall Club Apt. 934, Shannonland, VA 54539","Development worker, international aid",23-03-1970,54,Male,Single,2,4,Primary,2340,0,1,12,18,32,1.59,1.44,-1.72,2,0.68,0.69,0.65,10,4,0,3,4,6,4,23.31,0.76,1,0,5,45,8,0.1,-0.17,54,2,238,27.7,106,29,0,0.03,5
Joshua Olson,seanramos@gmail.com,+1-202-595-5762x610,"1389 Foster Isle, Jeffreyhaven, CA 99207","Designer, blown glass/stained glass",17-07-2006,18,Male,Single,1,3,Tertiary,3966,0,1,53,30,46,0.09,-2.11,0.15,3,0.42,0.34,0.69,7,7,3,0,7,4,3,28.25,0.65,1,0.12,4,185,9,0.31,0.16,25,0,297,192.6,31,0,72,0.05,2
Victor Williams,jennifer97@hotmail.com,250.772.1487,"9775 Jenkins Villages Apt. 774, North Trevorstad, MS 39040",Materials engineer,22-09-1996,28,Male,Single,1,3,Primary,2285,0,1,51,68,40,-0.04,-0.29,0.26,7,0.5,0.49,0.71,5,4,1,1,1,2,2,24.77,0.14,0.76,0.06,0,149,7,0.23,-0.47,54,9,232,170.4,27,108,42,0.12,5
Jessica Burns,garrett45@hotmail.com,617.671.9098x5684,"00353 Garcia Fall, Port Blake, WA 89272",Bonds trader,24-01-1977,47,Female,Married,3,4,Tertiary,1987,0,0,58,121,85,-0.25,-0.44,0.87,3,0.19,0.79,0.24,4,6,0,0,5,0,1,29.55,0.91,0.81,0.34,4,108,4,0.16,-0.05,65,17,129,0,43,68,5,0.24,2
